,source_url,site_name,site_url,title,img_url,description
44,https://ftnnews.com/accommodation/34057-marriott-doubles-portfolio-in-the-middle-east-africa,,https://ftnnews.com/accommodation/34057-marriott-doubles-portfolio-in-the-middle-east-africa,Marriott doubles portfolio in the Middle East & Africa,,Marriott International announced ambitious growth plans for its Middle East and Africa region. The hospitality giant signed more than 30 properties and ove...
45,,YakTriNews.com,,Page not found - YakTriNews.com,,
46,/news/world/others/vice-president-naidu-arrives-in-sierra-leone20191013014002/,,/news/world/others/vice-president-naidu-arrives-in-sierra-leone20191013014002/,Vice President Naidu arrives in Sierra Leone,https://aniportalimages.s3.amazonaws.com/media/details/EGs08Z4X0AA56um_1.jpg,"Freetown [Sierra Leone], Oct 13 (ANI): Vice President M Venkaiah Naidu on Saturday (local time) arrived in Freetown on the second leg of his ongoing five-day visit to Union of Comoros and Sierra Leone."
47,http://www.theguardian.com/world/commentisfree/2019/oct/12/turkey-invasion-syria-trump-withdrawal-gulf-rivals-unite,the Guardian,http://www.theguardian.com/world/commentisfree/2019/oct/12/turkey-invasion-syria-trump-withdrawal-gulf-rivals-unite,Erdoğan has managed the unthinkable: uniting all the other Middle East rivals | Simon Tisdall,https://i.guim.co.uk/img/media/2dabc1bfd45cf9e2a88e5075f2f3644c460bbfde/0_274_5472_3283/master/5472.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tb3BpbmlvbnMucG5n&enable=upscale&s=eb29c1ec7989cdca49ae87238365c0e7,Turkey’s Syria invasion following US withdrawal of its troops means that all bets are now off in the Middle East
48,,University World News,,Why are universities neglecting their global alumni?,https://www.universityworldnews.com/images/articles/20191009085026266_5.jpg,"So many universities spend money, time and energy recruiting and educating international students, yet lose track of them once they have graduated. In..."
49,https://www.thesun.co.uk/news/10119232/us-troops-saudi-arabia-iran-oil-attack/,The Sun,https://www.thesun.co.uk/news/10119232/us-troops-saudi-arabia-iran-oil-attack/,Trump sends thousands of extra troops to Saudi Arabia after Iran oil attack,https://www.thesun.co.uk/wp-content/uploads/2019/10/NINTCHDBPICT000530151188.jpg?strip=all&quality=100&w=1200&h=800&crop=1,"THE US is sending thousands more troops to protect Saudi Arabia against the threat of Iran after last month’s attack on major oil plants. Donald Trump approved the deployment of 3,000 extra troops …"
50,,,,,,
51,https://globalnews.ca/news/6023100/takeaways-conservative-platform/,Global News,https://globalnews.ca/news/6023100/takeaways-conservative-platform/,4 takeaways from the Conservative election platform,https://shawglobalnews.files.wordpress.com/2019/10/21946107.jpg?quality=70&strip=all&w=720&h=379&crop=1,"Here are a few key takeaways from the platform, and a look at how the other parties stack up."
52,https://nairobinews.nation.co.ke/editors-picks/mother-of-seven-jailed-for-two-months-for-selling-changaa,Nairobi News,https://nairobinews.nation.co.ke/editors-picks/mother-of-seven-jailed-for-two-months-for-selling-changaa,Mother of seven jailed for two months for selling chang’aa,https://nairobinews.nation.co.ke/wp-content/uploads/2019/10/1386142f-ce91-4682-9046-a0bfd3bc3c76.jpg,"News,Gossip,Sports and Entertainment from Nairobi."
53,https://news.az/articles/official/142378,,https://news.az/articles/official/142378,French President Emmanuel Macron phones Azerbajiani President Ilham Aliyev ,https://news.az/images_470/2019/10/11/186910.jpg,French President Emmanuel Macron phones Azerbajiani President Ilham Aliyev 
54,https://www.haaretz.com/israel-news/.premium-why-netanyahu-has-to-stay-silent-about-trump-s-abandonment-of-the-kurds-1.7969224,haaretz.com,https://www.haaretz.com/israel-news/.premium-why-netanyahu-has-to-stay-silent-about-trump-s-abandonment-of-the-kurds-1.7969224,Why Netanyahu has to stay silent about Trump’s abandonment of the Kurds,https://www.haaretz.com/polopoly_fs/1.7969238.1570876836!/image/986569668.jpg_gen/derivatives/headline_1200x630/986569668.jpg,***
55,https://indianexpress.com/elections/pune-direct-contest-between-two-women-candidates-on-parvati-seat-6065452/,The Indian Express,https://indianexpress.com/elections/pune-direct-contest-between-two-women-candidates-on-parvati-seat-6065452/,Pune: Direct contest between two women candidates on Parvati seat,https://images.indianexpress.com/2019/10/Pune-1.jpg?w=759,"The constituency covers areas like Vitthalwadi, Bibvewadi, Parvati gaon, Laxmi Nagar, Maharshi Nagar, Ambedkar Nagar and Dattavadi. The BJP made inroads in this segment in the last 10 years with Misal winning in 2009 and 2014."
56,https://sputniknews.com/europe/201910121077035269-french-cypriot-naval-exercises-underway-amid-turkeys-drilling-efforts-in-region/,,https://sputniknews.com/europe/201910121077035269-french-cypriot-naval-exercises-underway-amid-turkeys-drilling-efforts-in-region/,French-Cypriot Naval Exercises Underway Amid Turkey’s Drilling Efforts in Region,https://cdn3.img.sputniknews.com/images/103032/29/1030322924.jpg,Ankara previously positioned its vessels in the Cypriot exclusive economic zone in order to carry out exploration for hydrocarbons despite concerns raised by authorities in Nicosia and warnings from the EU.
57,https://www.nytimes.com/2019/10/12/world/middleeast/trumps-abandonment-of-the-kurds-in-syria-has-other-allies-worried.html,,https://www.nytimes.com/2019/10/12/world/middleeast/trumps-abandonment-of-the-kurds-in-syria-has-other-allies-worried.html,Trump’s Abrupt Shifts in Middle East Unnerve U.S. Allies,https://static01.nyt.com/images/2019/10/13/world/13mideast-1/12mideast-facebookJumbo.jpg,President Trump’s acquiescence to a Turkish raid on the Kurds in northern Syria alarmed allies for its unpredictability as much as its betrayal.
58,,,,,,
59,https://www.daily-sun.com/post/430753/BUET-BCL-president-secretary’s-hall-rooms-sealed-off,Daily Sun,https://www.daily-sun.com/post/430753/BUET-BCL-president-secretary’s-hall-rooms-sealed-off,"BUET BCL president, secretary’s hall rooms sealed off | daily sun",https://www.daily-sun.com/assets/news_images/2019/10/12/download.jpg,Bangladesh University of Engineering and Technology (BUET) authorities have sealed off at least three rooms of its separate halls as part of its drive against illegal possession following the killing of Abrar Fahad. The authorities on Saturday issued a notice and pasted it to the notice-boards
